3970, 1428, 2015, -127
4047, 1385, 2044, -65
4067, 1344, 2073, -53
4150, 1474, 1957, -219
4172, 1565, 1877, -241
4193, 1630, 1819, -257
4267, 1620, 1878, -147
4292, 1596, 1940, -116
4366, 1531, 2038, -54
4390, 1482, 2108, -43
4463, 1583, 2098, -130
4488, 1671, 2084, -152
4565, 1723, 2110, -123
4590, 1747, 2138, -106
4666, 1734, 2185, -69
4689, 1721, 2218, -62
4763, 1901, 2183, -233
4785, 2031, 2154, -262
4867, 2087, 2169, -203
4889, 2111, 2186, -182
4910, 2116, 2204, -166
4989, 2085, 2234, -118
5010, 2061, 2255, -111
5084, 2184, 2192, -297
5106, 2285, 2146, -337
5179, 2406, 2095, -435
5200, 2476, 2067, -425
5274, 2383, 2111, -189
5295, 2295, 2150, -144
5368, 2163, 2197, -56
5393, 2070, 2229, -43
5466, 2103, 2203, -98
5493, 2153, 2171, -124
5577, 2196, 2157, -98
5599, 2221, 2151, -89
5620, 2233, 2150, -83
5694, 2231, 2158, -65
5716, 2228, 2165, -62
5789, 2381, 2075, -212
5810, 2492, 2009, -247
5886, 2609, 1936, -349
5907, 2679, 1895, -343
5983, 2662, 1956, -194
6005, 2637, 2010, -164
6083, 2781, 1930, -412
6121, 2905, 1859, -515
6196, 2835, 1913, -252
6217, 2752, 1970, -193
6301, 2553, 2085, -34
6322, 2415, 2161, -20
6379, 2302, 2218, 0
6539, 2216, 2256, 7
6576, 2170, 2276, 3
6603, 2147, 2280, -1
6744, 2079, 2098, 1
6779, 2060, 2032, -2
6809, 2059, 2014, -3
6942, 2068, 2019, -8
6968, 2075, 2026, -9
7006, 2079, 1999, -17
7106, 2058, 1857, -86
7141, 2045, 1769, -92
7230, 2038, 1714, -97
7249, 2034, 1682, -97
7293, 2019, 1628, -154
7401, 1971, 1506, -173
7431, 1945, 1435, -176
7571, 1929, 1403, -164
7599, 1923, 1392, -163
7618, 1922, 1381, -181
7636, 1915, 1360, -200
7770, 1749, 1111, -613
7810, 1720, 1020, -446
