8832, 1889, 739, -141
8854, 1879, 688, -157
8922, 1860, 614, -198
8945, 1849, 566, -195
9053, 1892, 610, -36
9089, 1916, 637, -32
9120, 1929, 632, -35
9204, 1929, 528, -46
9230, 1930, 458, -41
9255, 1932, 412, -34
9333, 1940, 389, -10
9353, 1945, 378, -6
9376, 1950, 374, -3
9454, 1943, 253, 7
9475, 1936, 162, 18
9496, 1925, 92, 29
9560, 1922, 58, 64
9581, 1923, 46, 73
9646, 1935, 71, 95
9666, 1944, 93, 99
9684, 1951, 113, 102
9749, 1936, 3, 142
9768, 1922, -82, 151
9787, 1909, -152, 154
9852, 1901, -202, 149
9871, 1898, -228, 146
9890, 1898, -238, 143
9959, 1907, -218, 133
9981, 1914, -199, 131
10054, 1883, -318, 142
10081, 1852, -421, 150
10159, 1853, -360, 194
10177, 1861, -300, 180
10196, 1871, -240, 173
10260, 1895, -108, 141
10280, 1912, -6, 131
10346, 1929, 104, 109
10365, 1939, 178, 105
10430, 1931, 233, 154
10450, 1920, 267, 172
10469, 1909, 287, 187
10539, 1861, 317, 182
10560, 1822, 340, 172
10629, 1776, 365, 150
10649, 1746, 382, 146
10718, 1644, 421, 185
10740, 1574, 451, 184
10814, 1506, 476, 133
10835, 1463, 492, 120
10857, 1434, 501, 110
10927, 1414, 505, 89
10950, 1402, 507, 86
11020, 1364, 527, 0
11043, 1330, 546, -26
11113, 1279, 570, -55
11135, 1243, 585, -57
11203, 1216, 587, -68
11225, 1200, 586, -71
11293, 1198, 578, -74
11315, 1200, 572, -74
11384, 1162, 588, -213
11406, 1126, 601, -235
11482, 1071, 590, -250
11508, 1033, 578, -250
11576, 1008, 556, -240
11598, 995, 540, -237
11666, 941, 520, -327
11688, 893, 507, -360
11756, 829, 501, -423
11778, 786, 494, -421
11846, 765, 457, -293
11868, 754, 425, -253
11938, 757, 386, -163
11961, 760, 359, -146
12031, 671, 303, -195
12052, 598, 270, -203
12074, 537, 251, -211
12150, 476, 240, -177
12171, 437, 235, -168
12194, 412, 232, -158
12263, 401, 233, -135
12285, 397, 235, -130
12353, 280, 259, -145
